trial_name	individual	target_halfwidth	stimulus_period	radian	degree
con_1	1	0	0	-1.473502997	-84.42550281
con_2	2	0	0	1.295963271	74.25322585
con_3	3	0	0	-0.314510049	-18.02009843
con_5	5	0	0	-2.070025119	-118.6037028
con_6	6	0	0	-2.907256359	-166.5735193
con_7	7	0	0	-1.601138006	-91.73845015
con_8	8	0	0	-0.411935523	-23.60216689
con_9	9	0	0	0.331666126	19.00306924
con_10	10	0	0	2.803463471	160.6266249
con_11	11	0	0	1.452767622	83.23745337
con_12	12	0	0	0.143043083	8.195764946
con_13	13	0	0	2.254116575	129.1513663
con_14	14	0	0	-2.164042099	-123.990479
con_15	15	0	0	2.133303295	122.2292752
con_16	16	0	0	1.563967862	89.6087578
con_20	20	0	0	-1.398656102	-80.13709161
con_23	23	0	0	2.540611705	145.5663281
con_24	24	0	0	0.752903575	43.1381972
con_25	25	0	0	-1.66392532	-95.33589828
con_26	26	0	0	2.961883584	169.7034288
con_27	27	0	0	0.696913747	39.93021641
con_28	28	0	0	-1.560749445	-89.42435605
con_29	29	0	0	3.12366038	178.9725564
con_33	33	0	0	-2.143345722	-122.8046639
con_35	35	0	0	0.807081718	46.24237618
con_36	36	0	0	0.679653498	38.94127697
con_39	39	0	0	2.210105552	126.6297204
con_41	41	0	0	-0.556515497	-31.88598921
con_44	44	0	0	-2.612059135	-149.6599643
con_47	47	0	0	-2.361094435	-135.2807462
con_48	48	0	0	0.473269064	27.11631992
con_49	49	0	0	-0.15602618	-8.939641601
con_50	50	0	0	2.350855158	134.6940788
con_51	51	0	0	2.337447217	133.9258604
con_101	101	0	0	2.053614203	117.6634266
con_102	102	0	0	0.973644348	55.78571187
con_104	104	0	0	1.323412168	75.82593181
con_105	105	0	0	-2.35211978	-134.7665363
con_108	108	0	0	-1.584809716	-90.80290807
con_109	109	0	0	0.07237861	4.146988904
con_110	110	0	0	2.632125347	150.8096735
con_112	112	0	0	-1.010459983	-57.8950924
con_116	116	0	0	2.629116961	150.6373057
con_117	117	0	0	0.469831224	26.91934624
con_119	119	0	0	-0.628138806	-35.98970252
con_120	120	0	0	3.016452151	172.8299773
con_121	121	0	0	-1.952184738	-111.8519463
5_2	2	5	14	-1.093194984	-62.63545875
5_3	3	5	14	1.672408425	95.82194435
5_5	5	5	14	1.856946329	106.3951874
5_6	6	5	14	-0.032314975	-1.85151167
5_7	7	5	14	1.87068915	107.1825931
5_8	8	5	14	2.832082172	162.2663557
5_9	9	5	14	-2.121792715	-121.5697676
5_10	10	5	14	-1.414679651	-81.05517338
5_11	11	5	14	-2.733450138	-156.6151564
5_12	12	5	14	-0.358185313	-20.5225067
5_13	13	5	14	0.235292091	13.48124379
5_16	16	5	14	2.361255259	135.2899607
5_17	17	5	14	0.410634775	23.52763952
5_19	19	5	14	-1.945038862	-111.4425178
5_21	21	5	14	0.726108649	41.60296103
5_22	22	5	14	0.852449234	48.84174333
5_23	23	5	14	1.035700098	59.34124444
5_25	25	5	14	-2.276589055	-130.4389446
5_26	26	5	14	-1.173970416	-67.2635501
5_29	29	5	14	1.199199801	68.70908738
5_32	32	5	14	-2.835427355	-162.4580205
5_35	35	5	14	1.021185308	58.50960825
5_36	36	5	14	-3.010812315	-172.5068386
5_41	41	5	14	1.201749096	68.85515122
5_42	42	5	14	-1.143391864	-65.51152812
5_44	44	5	14	-1.140423803	-65.34147074
5_45	45	5	14	0.648549783	37.15916538
5_46	46	5	14	-1.818228889	-104.1768415
5_47	47	5	14	-0.179600306	-10.29033954
5_48	48	5	14	2.594259363	148.6401125
5_49	49	5	14	-0.071416322	-4.091853844
5_101	101	5	14	2.809170601	160.9536194
5_102	102	5	14	0.767427503	43.97035699
5_103	103	5	14	-2.892038552	-165.7016032
5_104	104	5	14	2.045405583	117.1931073
5_108	108	5	14	0.324705159	18.60423521
5_110	110	5	14	1.127466595	64.59907745
5_117	117	5	14	1.732121428	99.24324744
5_118	118	5	14	0.048758053	2.793630643
5_119	119	5	14	2.794183435	160.094918
5_121	121	5	14	0.393130821	22.52473683
10_1	1	10	28	-0.453996296	-26.01207168
10_2	2	10	28	-1.679476854	-96.22693553
10_3	3	10	28	-2.636838674	-151.0797272
10_5	5	10	28	-2.257003687	-129.3167856
10_6	6	10	28	1.02833711	58.91937635
10_7	7	10	28	-2.923764337	-167.5193568
10_8	8	10	28	-0.600891989	-34.42857491
10_9	9	10	28	-2.095700962	-120.0748202
10_10	10	10	28	2.300013477	131.781065
10_11	11	10	28	0.395773203	22.67613416
10_12	12	10	28	-1.856875038	-106.3911027
10_13	13	10	28	0.076061733	4.358016262
10_14	14	10	28	1.243378062	71.2403153
10_15	15	10	28	-3.014271228	-172.7050197
10_16	16	10	28	-2.813727368	-161.2147029
10_17	17	10	28	2.841028797	162.7789596
10_19	19	10	28	-1.589067474	-91.04685965
10_20	20	10	28	-0.384373888	-22.02300156
10_23	23	10	28	-1.624637014	-93.08484413
10_24	24	10	28	2.09446049	120.0037464
10_26	26	10	28	-0.957095764	-54.83754784
10_27	27	10	28	1.561362129	89.45946028
10_28	28	10	28	-0.005982826	-0.342790696
10_29	29	10	28	-0.148292156	-8.496514691
10_33	33	10	28	-2.478030721	-141.9807018
10_35	35	10	28	3.00950039	172.4316708
10_39	39	10	28	-1.472357822	-84.35988912
10_41	41	10	28	1.263377288	72.38618655
10_45	45	10	28	-1.540667154	-88.27372556
10_101	101	10	28	3.115891113	178.5274102
10_102	102	10	28	2.770097745	158.7149096
10_105	105	10	28	-1.938594916	-111.0733069
10_107	107	10	28	-0.265904088	-15.235182
10_108	108	10	28	-1.476869898	-84.61841207
10_109	109	10	28	2.999475394	171.8572808
10_110	110	10	28	2.742337076	157.1243405
